Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2020-06-26	",995.89,12339,26.3,1.3,13,4190.72,24.076,10
"2020-06-27	",1410.87,17898,27.5,4.9,8,1708.48,14.816,14
"2020-06-28	",971.75,11450,27,2.9,15,4082.88,27.78,15
"2020-06-29	",1028.11,12592,27.1,2,10,3225.6,18.52 ,20
"2020-06-30	",1384.29,16957,28,0,12,4549.64,22.224,22
"2020-07-01	",1368.89,17895,28.5,0,14,5475.56,25.928,19
"2020-07-02	",1123.43,13343,26.9,13.9,17,4493.72,31.484,17
"2020-07-03	",1285.78,15844,27.8,0,8,5143.12,14.816,15
"2020-07-04	",588.83,7259,27.3,0.4,5,2355.32,9.26,24
"2020-07-05	",1242.4,15762,27.3,10.3,10,4969.6,18.52 ,17
"2020-07-06	",1508.2,19692,28,0.3,9,6032.8,16.668,16
"2020-07-07	",955.5,11799,27.6,0,5,3822,9.26,18
"2020-07-08	",1531.45,19472,27.8,6.2,10,6125.8,18.52 ,14
"2020-07-09	",1251.89,15976,26,7.2,21,5007.56,38.892,10
"2020-07-10	",1120.37,13764,26.7,7.6,9,4481.48,16.668,11
"2020-07-11	",1380.3,16567,27,0,15,5521.2,27.78,9
"2020-07-12	",1339.61,15567,26.8,1.1,15,5358.44,27.78,8
"2020-07-13	",1169.85,14107,26.1,0.7,24,4679.4,44.448,10
"2020-07-14	",1659.66,18755,28.5,2.7,8,6638.64,14.816,12
"2020-07-16	",1399.16,17734,26.8,34.1,19,5596.64,35.188,17
"2020-07-17	",1405.53,17170,27.3,6,15,5622.12,27.78,14
"2020-07-18	",1548.67,19327,28.1,0,10,6194.68,18.52 ,14
"2020-07-19	",1492.8,18266,28.5,5.6,6,5971.2,11.11,15
"2020-07-20	",1442.25,19913,28,0,12,5769,22.224,10
"2020-07-21	",1407.75,17516,26.7,17.3,18,5631,33.336,14
"2020-07-22	",1293.36,15674,27.3,0,8,5173.44,14.816,15
"2020-07-23	",1595.11,21070,28.2,31.3,12,6380.44,22.224,15
"2020-07-24	",1507.18,19051,27.9,5.6,13,6028.72,24.076,12
"2020-07-25	",1043.84,13271,27.2,5.8,13,4175.36,24.076,11
"2020-07-26	",1544.65,19607,27.5,1.1,12,6178.6,22.224,9
"2020-07-27	",1484.68,19536,28.1,6.8,9,5938.72,16.668,12
