Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Wind (km/hr),Dust (ug/m3)
"2019-08-01	",1607.22,20033,28.6,0,20,37.04,16
"2019-08-02	",993.68,14013,27.1,3.6,20,37.04,17
"2019-08-03	",1011.07,13069,26.9,2.6,15,27.78,17
"2019-08-04	",1439.35,17292,28.6,1.3,20,37.04,11
"2019-08-05	",875.83,11868,26.6,17.8,27,50.004,12
"2019-08-06	",1779.26,23509,28.7,0,8,14.816,10
"2019-08-07	",1266.42,15769,27.2,0,17,31.484,13
"2019-08-08	",1039.78,13347,28.1,T,16,29.632,16
"2019-08-09	",649.73,8391,25.8,11.5,17,31.484,12
"2019-08-10	",1475.01,19747,26.7,2.2,19,35.18,7
"2019-08-11	",1089.12,14170,26.3,5.2,4,7.408,10
"2019-08-12	",1583.53,20211,28.1,T,11,20.372,10
"2019-08-13	",1567.74,21370,27.5,15.6,18,33.336,18
"2019-08-14	",1555.97,20117,28.1,0,15,27.78,12
"2019-08-15	",1280.5,16417,27.3,4.6,19,35.18,14
"2019-08-16	",1419.48,18567,27,0.4,5,9.26,6
"2019-08-17	",1423.76,17866,27.3,0,15,27.78,8
"2019-08-18	",1831.51,26123,28.5,0,13,24.076,13
"2019-08-19	",1730.77,24504,28.2,0,12,22.224,15
"2019-08-20	",1723.66,25712,28.4,1.2,14,25.928,20
"2019-08-21	",1467.57,20065,27.9,0,26,48.152,16
"2019-08-22	",1618.33,20819,28,0,12,22.224,10
"2019-08-23	",1474.87,20569,27.6,1.5,24, 44.448,11
"2019-08-24	",1575.31,21793,27.6,0.8,31,57.412,10
"2019-08-25	",1153.44,15675,26.3,2.6,16,29.632,7
"2019-08-26	",1206.42,15281,27.3,3.5,13,24.076,12
"2019-08-27	",879.3,11106,26.6,1.6,9,16.668,11
"2019-08-28	",148.42,1868,26.3,0.3,11,20.372,8
"2019-08-29	",897.72,11175,26,7.8,11,20.372,10
"2019-08-30	",628.62,7743,24.8,10.6,8,14.816,7
"2019-08-31	",1092.26,13178,25.4,4.7,4,7.408,9
,1273.730645,16818.29032,27.2516129,3.206451613,15.16129032,,11.87096774
"2019-09-01	",1173.17,15102,25.9,0.2,11,20.372,8
"2019-09-02	",923.19,11592,26.7,0,9,16.668,9
"2019-09-03	",968.78,12570,27.1,0,15,27.78,16
"2019-09-04	",740.38,9427,27.1,0.9,18,33.336,15
"2019-09-05	",1319.71,16171,27.7,0.1,13,24.076,16
"2019-09-06	",1171.82,15591,27.7,0,8,14.816,21
"2019-09-07	",1687.82,23417,29,0,13,24.076,21
"2019-09-08	",1327.59,17899,27.5,30.3,17,31.484,17
"2019-09-09	",1115.78,15583,26.4,15.8,13,24.076,12
"2019-09-10	",1768.11,23687,27.5,1.6,10,18.52,12
"2019-09-11	",1413.07,18740,27.1,9,18,33.336,12
"2019-09-12	",1512.75,20788,27.9,0.6,18,33.336,13
"2019-09-13	",1512.95,19323,25.4,0.2,11,20.372,14
"2019-09-14	",752.32,9632,24.6,14,23,42.596 ,10
"2019-09-15	",984,12266,25,5.9,10,18.52,7
"2019-09-16	",1028.49,12533,25.8,0.8,8,14.816,7
"2019-09-17	",773.65,9472,24.9,5.7,12,22.224,9
"2019-09-18	",1320.03,16647,26.9,0,12,22.224,8
"2019-09-19	",1518.08,20518,27.1,0,25,46.3,8
"2019-09-20	",1426.96,19323,27.7,0,15,27.78,15
"2019-09-21	",1623.78,21837,27,0,19,35.18,15
"2019-09-22	",963.4,12138,26.2,22.4,13,24.076,19
"2019-09-23	",1160.44,14728,26.1,0.5,9,16.668,20
"2019-09-24	",1373.8,17758,26.9,8.3,14,25.928,22
"2019-09-25	",907.4,11533,25.9,18,17,31.484,21
"2019-09-26	",1262.56,16406,27.2,1.3,13,24.076,20
"2019-09-27	",1767.99,23504,27.6,0,14,25.928,17
"2019-09-28	",918.32,11710,26,9.9,13,24.076,11
"2019-09-29	",1706.2,21133,26.9,0,13,24.076,12
"2019-09-30	",1544.66,22175,27.4,0,12,22.224,18
,1255.573333,16440.1,26.74,4.85,13.86666667,,14.16666667
"2019-10-01	",1602.58,21956,27,4.5,12,22.224,14
"2019-10-02	",1434.51,19845,27,0,12,22.224,17
"2019-10-03	",1338.04,19276,26.7,0,8,14.816,16
"2019-10-04	",1585.88,21384,27.4,49.1,8,14.816,16
"2019-10-05	",1063.09,15522,26.8,1.8,13,24.076,10
"2019-10-06	",1139.48,15049,26.6,13.9,10,18.52,13
"2019-10-07	",1254.07,16826,26.7,0,8,14.816,12
"2019-10-08	",1533.41,20593,27.2,0,11,20.372,11
"2019-10-09	",1386.22,19596,27.1,0,8,14.816,15
"2019-10-10	",1073.28,14198,27.2,T,5,9.26,15
"2019-10-11	",1480.07,19240,27.6,0,9,16.668,16
"2019-10-12	",1609.68,21547,28,0,8,14.816,21
"2019-10-13	",1294.42,16229,26.8,0,15,27.78,17
"2019-10-14	",597.83,7735,25.2,1.3,6,11.112,13
"2019-10-15	",1040.32,13542,26.3,0.8,7, 12.964 ,15
"2019-10-16	",581.88,7108,26.2,8.3,8,14.816,13
"2019-10-17	",865.96,10291,25.2,24.3,9,16.668,11
"2019-10-18	",572.09,7226,25.3,9.7,6,11.112,10
"2019-10-19	",645.32,7957,25.4,10.7,14,25.928,7
"2019-10-20	",777.02,9490,26.1,73.7,22,40.744,6
"2019-10-21	",749.41,9536,25.2,27.7,17,31.484,7
"2019-10-22	",1177.53,15296,26.9,0,9,16.668,12
"2019-10-23	",1147.61,14691,27.7,0,9,16.668,12
"2019-10-24	",1178.68,16587,27.4,0.4,10,18.52,11
"2019-10-25	",1245.44,17666,27.3,0.6,6,11.112,10
"2019-10-26	",1162.52,15051,27.2,0,12,22.224,14
"2019-10-27	",1331.87,18345,27,2.2,16,29.632,17
"2019-10-28	",1340.21,16388,27,0,6,11.112,15
"2019-10-29	",1471.78,20678,27.8,0,9,16.668,13
"2019-10-30	",1288.16,16797,27.4,0.5,10,18.52,14
"2019-10-31	",1060.47,15274,27.3,2.3,10,18.52,16
