Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Wind (km/hr),Dust (ug/m3)
"2020-04-11	",1661.13,24200,30.1,0,20,37.04,19
"2020-04-12	",1798.13,25501,29.8,0,16,29.632,18
"2020-04-13	",1686.44,24747,30.5,0,22,40.744,17
"2020-04-14	",1284.78,18826,28.9,1.3,15,27.78,18
"2020-04-15	",1279.57,17799,29.1,T,13,24.076,13
"2020-04-16	",1499.45,21256,29,0.5,17,31.484,10
"2020-04-17	",1132.6,14781,28.8,0,11,20.37,13
"2020-04-18	",1709.99,21174,28.8,0.9,20,37.04,10
"2020-04-19	",1594.05,21605,29.9,0,24,44.448,16
"2020-04-20	",1929.3,25256,30.2,0,20,37.04,14
"2020-04-21	",1930.79,25078,30.2,0,18,33.336,15
"2020-04-22	",1902.7,26080,29.9,0,13,24.076,14
"2020-04-23	",1434.75,18921,29.8,0,17,31.484,11
"2020-04-24	",1490.58,19695,29.4,0,25,46.3,10
"2020-04-25	",1450.11,18676,29.5,0,22,40.744,9
"2020-04-26	",1047.68,13114,27.6,30.3,22,40.744,11
"2020-04-27	",427.12,5512,25.9,4.2,11,20.37,8
"2020-04-28	",1020.72,12534,27.8,0,12,22.224,5
"2020-04-29	",806.4,10259,27.3,0.3,9,16.668,12
"2020-04-30	",1137.41,14220,28.3,T,14,25.928,11
,1494.313333,20359.23333,29.26333333,1.25,17.1,,13.93333333
"2020-05-01	",1309.66,16121,28.7,0,12,22.224,11
"2020-05-02	",1779.98,22499,29.5,0,17,31.484,12
"2020-05-03	",1787.18,23090,29.4,0,16,29.632,14
"2020-05-04	",1742.51,22419,29.2,0,13,24.076,17
"2020-05-05	",1743.34,23093,30,0,15,27.78,19
"2020-05-06	",1764.15,23948,30.2,0,17,31.484,17
"2020-05-07	",1749.52,22276,30.6,0,18,33.336,14
"2020-05-08	",1292.95,17071,30.3,0,12,22.224,11
"2020-05-09	",1512.13,20594,30.3,0,14,25.928,13
"2020-05-10	",1211.69,15917,30.1,0,14,25.928,13
"2020-05-11	",1246.71,15845,29.7,0,15,27.78,17
"2020-05-12	",908.65,11708,28.2,29.7,18,33.336,11
"2020-05-13	",1280.36,17683,28.4,0.3,14,25.928,13
"2020-05-14	",1417.24,19760,29.4,0,17,31.484,11
"2020-05-15	",1151.56,13270,30.3,0,21,38.892,15
"2020-05-16	",1592.16,20793,30.3,0,11,20.37,13
"2020-05-17	",1233.28,15373,29.5,0,13,24.076,14
"2020-05-18	",1525.49,20161,30.8,0,21,38.892,11
"2020-05-19	",1526.84,20107,30.6,0,13,24.076,16
"2020-05-20	",1289.95,16344,28.4,6.8,26,50.004,14
"2020-05-21	",1525.97,20214,29.1,0,14,25.928,16
"2020-05-22	",984.17,14057,29,3.3,13,24.076,15
"2020-05-23	",1466.92,18845,29.2,9,11,20.37,15
"2020-05-24	",941.13,11890,28.2,0,17,31.484,20
"2020-05-25	",1199.02,15208,29,T,10,18.52 ,n/a
"2020-05-26	",1019.64,12007,29.4,0,12,22.224,n/a
"2020-05-27	",1365.05,16167,28.9,0.7,11,20.37,n/a
"2020-05-28	",1863.56,24321,29.1,19.3,10,18.52 ,7
"2020-05-29	",1052.06,12498,27.3,1.8,15,27.78,9
"2020-05-30	",1386.33,17684,28.6,0.3,10,18.52 ,10
"2020-05-31	",1182.97,15962,27.6,5.2,17,31.484,6
,1388.779677,17965.32258,29.33225806,2.464516129,14.74193548,,12.06451613
"2020-06-01	",1759.51,22964,27.9,44.7,20,37.04,9
"2020-06-02	",1009.67,12739,27,6.3,18,33.336,9
"2020-06-03	",1250.06,16051,27.1,31.8,26,48.152,11
"2020-06-04	",1728.55,21964,28.3,0.5,15,27.78,n/a
"2020-06-05	",1273.97,16272,27.2,11,19,35.188,n/a
"2020-06-06	",1602.92,18786,27.9,2,16,29.632,15
"2020-06-07	",1261.76,16045,26.9,2.2,9,16.668,12
"2020-06-08	",1470.75,19674,26.8,4,21,38.892,17
"2020-06-09	",1379.27,16973,27,17.9,18,33.336,10
"2020-06-10	",1576.26,19391,27.6,0,15,27.78,9
"2020-06-11	",1221.55,14861,26.9,20.9,24,44.448,18
"2020-06-12	",1662.47,20110,28.5,0,14,25.928,14
"2020-06-13	",1585.78,18716,28.5,1.3,21,38.892,12
"2020-06-14	",1284.26,15947,26.5,19.7,19,35.188,8
"2020-06-15	",1110.25,13783,26.5,7.8,18,33.336,10
"2020-06-16	",1520.43,18486,28.8,1.3,12,22.224,14
"2020-06-17	",1336.64,16455,27.5,5.3,12,22.224,11
"2020-06-18	",1357.7,17413,27.7,11.1,11,20.37,10
"2020-06-19	",1673.03,21949,28.1,0.8,15,27.78,9
"2020-06-20	",1500.53,18441,28.1,22.7,16,29.632,13
"2020-06-21	",1182.95,14735,28,T,9,16.668,13
"2020-06-22	",1202.45,15731,27.3,29.3,12,22.224,12
"2020-06-23	",1570.72,19589,28.3,0,10,18.52 ,16
"2020-06-24	",1789.83,22790,29.5,0,9,16.668,18
"2020-06-25	",1373.48,18528,28.6,15.9,20,37.04,15
"2020-06-26	",995.89,12339,26.3,1.3,13,24.076,10
"2020-06-27	",1410.87,17898,27.5,4.9,8,14.816,14
"2020-06-28	",971.75,11450,27,2.9,15,27.78,15
"2020-06-29	",1028.11,12592,27.1,2,10,18.52 ,20
"2020-06-30	",1384.29,16957,28,0,12,22.224,22
,1382.523333,17320.96667,27.61333333,8.92,15.23333333,,12.2
"2020-07-01	",1368.89,17895,28.5,0,14,25.928,19
"2020-07-02	",1123.43,13343,26.9,13.9,17,31.484,17
"2020-07-03	",1285.78,15844,27.8,0,8,14.816,15
"2020-07-04	",588.83,7259,27.3,0.4,5,9.26,24
"2020-07-05	",1242.4,15762,27.3,10.3,10,18.52 ,17
"2020-07-06	",1508.2,19692,28,0.3,9,16.668,16
"2020-07-07	",955.5,11799,27.6,0,5,9.26,18
"2020-07-08	",1531.45,19472,27.8,6.2,10,18.52 ,14
"2020-07-09	",1251.89,15976,26,7.2,21,38.892,10
"2020-07-10	",1120.37,13764,26.7,7.6,9,16.668,11
"2020-07-11	",1380.3,16567,27,0,15,27.78,9
"2020-07-12	",1339.61,15567,26.8,1.1,15,27.78,8
"2020-07-13	",1169.85,14107,26.1,0.7,24,44.448,10
"2020-07-14	",1659.66,18755,28.5,2.7,8,14.816,12
"2020-07-15	",914.06,11333,27.6,T,8,14.816,14
"2020-07-16	",1399.16,17734,26.8,34.1,19,35.188,17
"2020-07-17	",1405.53,17170,27.3,6,15,27.78,14
"2020-07-18	",1548.67,19327,28.1,0,10,18.52 ,14
"2020-07-19	",1492.8,18266,28.5,5.6,6,11.11,15
"2020-07-20	",1442.25,19913,28,0,12,22.224,10
"2020-07-21	",1407.75,17516,26.7,17.3,18,33.336,14
"2020-07-22	",1293.36,15674,27.3,0,8,14.816,15
"2020-07-23	",1595.11,21070,28.2,31.3,12,22.224,15
"2020-07-24	",1507.18,19051,27.9,5.6,13,24.076,12
"2020-07-25	",1043.84,13271,27.2,5.8,13,24.076,11
"2020-07-26	",1544.65,19607,27.5,1.1,12,22.224,9
"2020-07-27	",1484.68,19536,28.1,6.8,9,16.668,12
"2020-07-28	",1200.17,16014,27.1,67.7,14,25.928,13
"2020-07-29	",1298.65,15896,26.8,14.6,22,40.744,12
"2020-07-30	",1127.69,14941,27.2,T,11,20.37,13
"2020-07-31	",1486.24,18329,27.3,2.4,17,31.484,12
,1313.482258,16466.12903,27.41612903,8.022580645,12.5483871,,13.61290323
"2020-08-01	",643.67,7832,25.3,27.2,18,33.336,7
"2020-08-02	",641.64,8134,25.8,18.5,12,22.224,6
"2020-08-03	",1351.36,15245,27.2,23.3,24,44.448,8
"2020-08-04	",807.27,9780,26.3,0.2,9,16.668,9
"2020-08-05	",1183.11,14072,27.8,0,12,22.224,12
"2020-08-06	",979.08,11996,27.6,T,7,12.96,19
"2020-08-07	",913.79,11151,27.1,8.2,9,16.668,14
"2020-08-08	",1414.26,16958,27.6,0,12,22.224,9
"2020-08-09	",1419.49,16619,27.3,1.8,13,24.076,7
"2020-08-10	",995.99,12440,26.5,2.6,17,31.484,8
"2020-08-11	",967.14,12654,27.7,T,15,27.78,11
"2020-08-12	",1230.98,14480,26.9,8.2,17,31.484,13
"2020-08-13	",1263.25,15446,25.6,33.3,14,25.928,6
"2020-08-14	",1637.87,20647,27.7,0,11,20.37,11
"2020-08-15	",1163,13913,27.3,0.9,11,20.37,16
"2020-08-16	",1551.49,20598,27.8,0,11,20.37,14
"2020-08-17	",1758.83,24096,28.9,0,12,22.224,17
"2020-08-18	",1757.47,22297,28.7,0,13,24.076,21
"2020-08-19	",1618.83,21720,28,0,8,14.816,20
"2020-08-20	",1647.1,20604,28.5,0,10,18.52 ,17
"2020-08-21	",1609.24,21969,28.6,2.6,9,16.668,17
"2020-08-22	",1552.87,20433,27.7,20,18,33.336,15
"2020-08-23	",1632.5,23937,27.8,0.4,17,31.484,13
"2020-08-24	",1694.96,23149,28.7,0,8,14.816,15
"2020-08-25	",1308.1,17732,28,0,17,31.484,17
"2020-08-26	",1735.35,24287,29,0,10,18.52 ,18
"2020-08-27	",1634.99,24195,29,0,15,27.78,11
"2020-08-28	",1368.39,18324,27.6,1.3,18,33.336,13
"2020-08-29	",1729.17,23411,28.7,0,11,20.37,13
"2020-08-30	",1705.12,22636,28.2,0,13,24.076,11
"2020-08-31	",1615.66,22634,27.8,4.7,17,31.484,11
,1371.999032,17851.25806,27.63548387,4.941935484,13.16129032,,12.87096774
"2020-09-01	",1505.62,20127,27.8,0,20,37.04,12
"2020-09-02	",1046.06,13556,26.7,5.4,18,33.336,13
"2020-09-03	",1485.83,20079,27.6,0,5,9.26,13
"2020-09-04	",1584.29,22137,28.3,13.1,16,29.632,12
"2020-09-05	",1517.88,20297,27.3,83.3,31,51.856,9
"2020-09-06	",1489.09,20160,28,0,15,27.78,10
"2020-09-07	",1375.86,18247,28.2,0.6,9,16.668,12
"2020-09-08	",1605.36,21299,27.3,15.6,14,25.928,8
"2020-09-09	",1664.56,22049,28.2,10.7,12,22.224,10
"2020-09-10	",1486.5,20690,27.9,31.1,25,46.3,8
"2020-09-11	",1425.41,18137,27.1,0.1,14,25.928,11
"2020-09-12	",1696.33,23256,27.8,29.5,18,33.336,9
"2020-09-13	",1724.82,22429,27.3,T,12,22.224,8
"2020-09-14	",1230.48,15289,26.7,22.6,12,22.224,9
"2020-09-15	",1100.71,14101,26,4.9,15,27.78,10
"2020-09-16	",1122.36,13045,26.8,7.2,15,27.78,6
"2020-09-17	",1339.51,15499,26.4,7.6,16,29.632,6
"2020-09-18	",751.69,9202,25,38.6,10,18.52 ,5
"2020-09-19	",796.7,9633,25.5,5.2,15,27.78,5
"2020-09-20	",1000.61,12091,26.5,T,11,20.37,7
"2020-09-21	",1260.25,15956,27.7,0,12,22.224,15
"2020-09-22	",1517.01,19790,28,0,8,14.816,13
"2020-09-23	",1353.73,17050,28.3,14,13,24.076,16
"2020-09-24	",990.81,12150,26.3,9.3,10,18.52 ,8
"2020-09-25	",1360.94,17802,26.4,3.5,27,50.004,7
"2020-09-26	",1467.48,18679,27.7,0,10,18.52 ,9
"2020-09-27	",921.72,11794,26.5,6.2,11,20.37,10
"2020-09-28	",632.4,7688,25.4,T,15,27.78,7
"2020-09-29	",1150.8,15417,25.8,0.7,26,48.152,9
"2020-09-30	",1767.63,23146,28.6,0,13,24.076,13
,1312.414667,17026.5,27.10333333,10.30666667,14.93333333,,9.666666667
"2020-10-01	",1079.72,13745,26,1.4,19,35.188,9
"2020-10-02	",1404.09,17229,27.1,0.2,13,24.076,7
"2020-10-03	",1051.73,12867,26.7,0,11,20.37,7
"2020-10-04	",1683.85,21497,27.7,0,11,20.37,9
"2020-10-05	",1540.24,19914,28.3,3.2,13,24.076,11
"2020-10-06	",1050.67,12789,27.4,3.2,15,27.78,8
"2020-10-07	",926.18,10896,25.5,45.4,17,31.484,9
"2020-10-08	",1305.48,16128,26.3,0,10,18.52 ,8
"2020-10-09	",1021.08,13380,26.5,7.1,15,27.78,9
"2020-10-10	",1030.93,0,26.3,3.7,10,18.52 ,9
"2020-10-11	",855.56,10417,25.8,8.8,15,27.78,9
"2020-10-12	",1113.4,13495,26.2,7.3,10,18.52 ,6
"2020-10-13	",961.72,11694,26.2,2.3,7,12.96,10
"2020-10-14	",978.12,11746,26.2,24.2,13,24.076,8
"2020-10-15	",1068.72,12821,26.1,0.2,10,18.52 ,8
"2020-10-16	",1030.41,12480,25.7,12.9,22,40.744,9
"2020-10-17	",844.16,10857,25.7,22.8,10,18.52 ,7
"2020-10-18	",772.31,9579,25.9,3.5,8,14.816,8
"2020-10-19	",1368.31,15850,27.5,0,11,20.37,13
"2020-10-20	",1429.09,16916,27.1,0.3,16,29.632,13
"2020-10-21	",1092.06,14549,26.5,19.4,17,31.484,10
"2020-10-22	",926.5,10971,26.3,0,8,14.816,9
"2020-10-23	",1031.98,12796,26.3,22.4,9,16.668,10
"2020-10-24	",1202.33,14978,27.1,45.8,9,16.668,13
"2020-10-25	",1043.11,12305,26.1,29.1,13,24.076,9
"2020-10-26	",1337.53,15975,26.9,0,8,14.816,8
"2020-10-27	",1143.08,14545,26.7,0,11,20.37,10
"2020-10-28	",913.15,12321,26.4,0,12,22.224,8
"2020-10-29	",1087.65,15065,26.1,2.9,17,31.484,6
"2020-10-30	",1205.44,15873,26.9,8.4,21,38.892,8
"2020-10-31	",871.49,13261,26.6,41.7,9,16.668,9
,1108.712581,13449.64516,26.51935484,10.2,12.58064516,,8.935483871
"2020-11-01	",1410.72,19091,26.8,11.4,11,20.37,11
"2020-11-02	",1129.16,14810,26.9,0,18,33.336,10
"2020-11-03	",1316.15,18671,27.5,0,13,24.076,12
"2020-11-04	",1205.04,16612,27.7,0,12,22.224,16
"2020-11-05	",979.78,13540,27.4,0,12,22.224,17
"2020-11-06	",1406.23,20376,27.8,0,14,25.928,17
"2020-11-07	",1228.05,16405,27.6,20.5,10,18.52 ,16
"2020-11-08	",1140.23,15009,27.4,32.9,12,22.224,10
"2020-11-09	",902.56,11970,26,7.2,11,20.37,8
"2020-11-10	",1074.31,15601,26.2,0.4,14,25.928,21
"2020-11-11	",768.33,10913,26,5,18,33.336,31
"2020-11-12	",428.27,6000,25.3,32.3,10,18.52 ,10
"2020-11-13	",459.09,6283,25.4,2.4,4,7.4,8
"2020-11-14	",839.78,11733,26.5,0,16,29.632,14
"2020-11-15	",1457.5,21512,26.5,0,14,25.928,29
"2020-11-16	",1382.95,18944,26.6,0,14,25.928,22
"2020-11-17	",848.75,11191,27,0.2,13,24.076,18
"2020-11-18	",1030.47,13765,27.4,T,12,22.224,14
"2020-11-19	",815.93,10843,27.2,0.6,9,16.668,11
"2020-11-20	",719.61,9934,26.1,4.3,10,18.52 ,13
"2020-11-21	",960.89,12442,26.8,13.5,9,16.668,11
"2020-11-22	",794.63,10443,26.7,0,8,14.816,8
"2020-11-23	",327.81,17353,27.2,0,14,25.928,9
"2020-11-24	",91.84,14273,26.9,0,13,24.076,13
"2020-11-25	",70.22,11037,26.2,14.3,13,24.076,11
"2020-11-26	",58.5,9415,26.1,1.3,19,35.188,8
"2020-11-27	",62.97,10332,25.9,3.7,13,24.076,11
"2020-11-28	",64.82,11019,25.8,8.5,12,22.224,10
"2020-11-29	",66.59,10914,26.3,50.7,19,35.188,11
"2020-11-30	",51.09,7959,25.8,3,16,29.632,7
,769.7423333,13279.66667,26.63333333,7.073333333,12.76666667,,13.56666667
"2020-12-01	",9.61,1845,24.3,89,10,18.52 ,7
"2020-12-02	",6.48,1232,23.7,296.9,19,35.188,5
"2020-12-03	",66.61,9536,24.9,6.5,14,25.928,9
"2020-12-04	",99.17,16786,25.9,0.9,16,29.632,11
"2020-12-05	",93.68,14116,25.8,0,21,38.892,18
"2020-12-06	",115.36,18546,26.1,0,14,25.928,15
"2020-12-07	",114.8,18104,26.2,0,11,20.37,15
"2020-12-08	",110.04,18265,26.1,0,13,24.076,19
"2020-12-09	",101.91,15042,26.3,0,15,27.78,22
"2020-12-10	",110.72,17675,25.7,0,14,25.928,28
"2020-12-11	",98.07,15894,25.2,0,11,20.37,39
"2020-12-12	",77.77,11997,26,0,12,22.224,35
"2020-12-13	",76.17,12318,26.6,0.7,6,11.11,21
"2020-12-14	",69.61,13050,26.5,0,8,14.816,14
"2020-12-15	",70.73,10916,26.2,1.1,14,25.928,13
"2020-12-16	",46.97,8055,25.6,3.5,12,22.224,9
"2020-12-17	",44.16,6862,25.6,5.9,16,29.632,10
"2020-12-18	",46.28,7396,25.8,0.7,13,24.076,10
"2020-12-19	",63.85,9765,26.2,3.6,15,27.78,13
"2020-12-20	",48.37,7301,25.8,0.4,19,35.188,11
"2020-12-21	",48.34,7474,24.6,0,18,33.336,12
"2020-12-22	",75.15,10746,24.4,0,15,27.78,24
"2020-12-23	",36.69,5834,23.3,0.6,13,24.076,29
"2020-12-24	",6.93,1344,23.6,8.5,8,14.816,31
"2020-12-25	",79.25,11100,26,0.6,10,18.52 ,22
"2020-12-26	",85.6,11560,26.6,3.2,12,22.224,8
"2020-12-27	",109.19,17863,26.9,0,14,25.928,9
"2020-12-28	",112,17463,26.5,0,12,22.224,11
"2020-12-29	",117.51,18118,26.6,0,11,20.37,12
"2020-12-30	",97.83,14918,26.9,4.4,12,22.224,15
"2020-12-31	",51.33,8819,24.9,2.1,16,29.632,17
,73.87677419,11610.96774,25.63870968,13.82580645,13.35483871,,16.58064516
,,,,,,,
???????? : ,T ??????????????????? 0.1 mm,,,,,,
, - ??? n/a ???????????,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
